domain,metadata_comment,ip
00t.me,Possible BurpSuite Collaborator Domain (Unverified),51.195.217.13
0888wt.xyz,Possible CyberStrikeAI Domain (Unverified),27.0.232.198
0lmjdo0198emn5quzix8gjv1rsxil7.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
0pq.co,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
0yz92ba0kbmw4wtz4xnjvho12s8iw7.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
101-32-115-241.sslip.io,Possible Cairn Domain (Unverified),101.32.115.241
101-32-185-93.nip.io,Possible CyberStrikeAI Domain (Unverified),101.32.185.93
103.116.52.203.sslip.io,Possible AdaptixC2 Domain (Unverified),103.116.52.203
111794.ke267opddbtlvv4coprlwmxxwo2fq4.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
11792-webtest.nsd.li,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
139-162-113-221.ip.linodeusercontent.com,Possible AdaptixC2 Domain (Unverified),139.162.113.221
144.172.112.126.sslip.io,Possible PureRAT Domain (Unverified),144.172.112.126
144.ip-51-91-79.eu,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
146-190-111-53.sslip.io,Possible Mythic Domain (Unverified),146.190.111.53
147-93-188-97.sslip.io,Possible Ligolo-ng Domain (Unverified),147.93.188.97
154.36.161.221.sslip.io,Possible CyberStrikeAI Domain (Unverified),154.36.161.221
159.65.1.163.nip.io,Possible PentAGI Domain (Unverified),159.65.1.163
17.205.178.68.host.secureserver.net,Possible AdaptixC2 Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,Possible Mythic Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,Possible Sliver Domain (Unverified),68.178.205.17
172-105-74-94.ip.linodeusercontent.com,Possible Hak5 Cloud C2 Domain (Unverified),172.105.74.94
172-237-128-179.ip.linodeusercontent.com,Possible BurpSuite Collaborator Domain (Unverified),172.237.128.179
178-18-254-244.sslip.io,Possible PentAGI Domain (Unverified),178.18.254.244
179.199.199.45.sslip.io,Possible Cairn Domain (Unverified),179.199.199.45
185-242-3-250.sslip.io,Possible AsyncRAT Domain (Unverified),185.242.3.250
188.212.158.203.nip.io,Possible AsyncRAT Domain (Unverified),188.212.158.203
193.134.211.175.nip.io,Possible CyberStrikeAI Domain (Unverified),193.134.211.175
1ateam.xyz,Possible AdaptixC2 Domain (Unverified),194.182.87.116
2-27-160-141.sslip.io,Possible AdaptixC2 Domain (Unverified),2.27.160.141
207.57.186.12.sslip.io,Possible CyberStrikeAI Domain (Unverified),207.57.186.12
212-43-153-205.cprapid.com,Possible AsyncRAT Domain (Unverified),212.43.153.205
217.216.73.36.sslip.io,Possible Ligolo-ng Domain (Unverified),217.216.73.36
259470.xyz,Possible CyberStrikeAI Domain (Unverified),154.9.26.131
2jo.me,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2ol.pw,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
2wpbhd2.257.cz,Possible CyberStrikeAI Domain (Unverified),185.242.233.6
2yrcq-l.257.cz,Possible Havoc Domain (Unverified),194.113.73.246
2yrcq-l.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.73.246
2yrcqwt.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.73.106
2yrcr58.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.74.199
2yrcrb6.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.75.163
3.121.234.29.sslip.io,Possible Mythic Domain (Unverified),3.121.234.29
31.56.197.231.sslip.io,Possible Ligolo-ng Domain (Unverified),31.56.197.231
385meybet.com,Possible PentAGI Domain (Unverified),138.226.246.156
3ta.me,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.48
43-250-53-42.nip.io,Possible CyberStrike Domain (Unverified),43.250.53.42
43210cloudfront.net.protect-eu.mimecast.com.hamtn.org,Possible Evilginx/EvilGoPhish Domain (Unverified),157.173.195.214
45-134-173-55.cprapid.com,Possible wstunnel Domain (Unverified),45.134.173.55
45-221-118-188.sslip.io,Possible CyberStrikeAI Domain (Unverified),45.221.118.188
49tc9.app,Possible CyberStrikeAI Domain (Unverified),45.207.196.67
4vv.me,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
52.128.241.51.sslip.io,Possible CyberStrikeAI Domain (Unverified),52.128.241.51
535e6918-9da5-4a0a-ad3d-024f9437c76d.926.cam,Possible Supershell Domain (Unverified),109.206.244.150
567.cloudns.org,Possible wstunnel Domain (Unverified),128.204.223.70
5rf.me,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
63673623562.com,Possible PureRAT Domain (Unverified),194.59.30.123
692491.xyz,Possible CyberStrikeAI Domain (Unverified),67.215.229.22
77.110.114.36.sslip.io,Possible CyberStrike Domain (Unverified),77.110.114.36
77.111.101.103.sslip.io,Possible Reverse_SSH Domain (Unverified),77.111.101.103
7dlxkst7rjbzgj3l4l93lwwd147vvmjb.iad.176221588272.proxy.springtide.aws.dev,Possible BurpSuite Collaborator Domain (Unverified),44.254.210.57
85-137-53-26.cprapid.com,Possible CyberStrikeAI Domain (Unverified),85.137.53.26
91.198.77.216.sslip.io,Possible Metasploit Domain (Unverified),91.198.77.216
91web.de5.net,Possible AdaptixC2 Domain (Unverified),43.143.57.45
987.mroow.tk,Possible wstunnel Domain (Unverified),128.204.223.71
9bn.in,Possible BurpSuite Collaborator Domain (Unverified),51.83.99.132
_dmarc.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mgmsp-lab.com,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
a.pentestdemo.com,Possible BurpSuite Collaborator Domain (Unverified),161.35.71.171
a.swisschaletolo.online,Possible Havoc Domain (Unverified),31.76.102.46
aadcdn.147zip.ru,Possible Evilginx/EvilGoPhish Domain (Unverified),138.124.14.35
aadcdnimg.login.amazonservice-amazon.com,Possible Evilginx/EvilGoPhish Domain (Unverified),204.152.217.122
aao.ohn.sb.agroperm.cyou,Possible DevilGinx Domain (Unverified),185.212.131.113
aao.ohn.sb.agroperm.cyou,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.131.113
aaron2024.serv00.net,Possible wstunnel Domain (Unverified),128.204.223.94
