domain,port,metadata_comment,ip
00t.me,80,Possible BurpSuite Collaborator Domain (Unverified),51.195.217.13
0pq.co,443,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
101-32-185-93.nip.io,8080,Possible CyberStrikeAI Domain (Unverified),101.32.185.93
101-32-185-93.nip.io,9090,Possible CyberStrikeAI Domain (Unverified),101.32.185.93
103.116.52.203.sslip.io,4321,Possible AdaptixC2 Domain (Unverified),103.116.52.203
111794.ke267opddbtlvv4coprlwmxxwo2fq4.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
11777-outbound-webtest.nsd.li,80,Possible BurpSuite Collaborator Domain (Unverified),81.95.8.185
11792-webtest.nsd.li,443,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
11792-webtest.nsd.li,80,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
144.ip-51-91-79.eu,443,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
146-190-111-53.sslip.io,443,Possible Mythic Domain (Unverified),146.190.111.53
147-93-188-97.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),147.93.188.97
159.65.1.163.nip.io,443,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,80,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,8444,Possible PentAGI Domain (Unverified),159.65.1.163
159.65.1.163.nip.io,8445,Possible PentAGI Domain (Unverified),159.65.1.163
17.205.178.68.host.secureserver.net,4321,Possible AdaptixC2 Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,7443,Possible Mythic Domain (Unverified),68.178.205.17
172-105-74-94.ip.linodeusercontent.com,443,Possible Hak5 Cloud C2 Domain (Unverified),172.105.74.94
172-105-74-94.ip.linodeusercontent.com,80,Possible Hak5 Cloud C2 Domain (Unverified),172.105.74.94
172-237-128-179.ip.linodeusercontent.com,443,Possible BurpSuite Collaborator Domain (Unverified),172.237.128.179
178-18-254-244.sslip.io,8444,Possible PentAGI Domain (Unverified),178.18.254.244
179.199.199.45.sslip.io,8000,Possible Cairn Domain (Unverified),179.199.199.45
185-135-80-216.cprapid.com,8080,Possible CyberStrikeAI Domain (Unverified),185.135.80.216
188.212.158.203.nip.io,1145,Possible AsyncRAT Domain (Unverified),188.212.158.203
1ateam.xyz,4321,Possible AdaptixC2 Domain (Unverified),194.182.87.116
2-27-160-141.sslip.io,61712,Possible AdaptixC2 Domain (Unverified),2.27.160.141
202-146-222-156.nip.io,443,Possible PureRAT Domain (Unverified),202.146.222.156
207.57.186.12.sslip.io,8080,Possible CyberStrikeAI Domain (Unverified),207.57.186.12
266.bz,8080,Possible CyberStrikeAI Domain (Unverified),156.239.40.175
2degeesmobile.net,443,Possible Reverse_SSH Domain (Unverified),165.154.199.52
2jo.me,443,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2jo.me,80,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2ol.pw,443,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
2ol.pw,80,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
3.121.234.29.sslip.io,443,Possible Mythic Domain (Unverified),3.121.234.29
35-205-254-152.nip.io,8443,Possible PentAGI Domain (Unverified),35.205.254.152
3ta.me,443,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.48
3ta.me,80,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.48
3wconstruct.com,9000,Possible DevilGinx Domain (Unverified),185.212.128.207
3wconstruct.com,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.207
4.javashell.com,8080,Possible CyberStrikeAI Domain (Unverified),185.186.245.131
43-167-179-153.sslip.io,8080,Possible CyberStrikeAI Domain (Unverified),43.167.179.153
43-167-179-153.sslip.io,8088,Possible CyberStrikeAI Domain (Unverified),43.167.179.153
43-250-53-42.nip.io,443,Possible CyberStrike Domain (Unverified),43.250.53.42
43-250-53-42.nip.io,4443,Possible CyberStrike Domain (Unverified),43.250.53.42
49tc9.app,8080,Possible CyberStrikeAI Domain (Unverified),45.207.196.67
4vv.me,443,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
4vv.me,80,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
50-116-40-144.ip.linodeusercontent.com,443,Possible BurpSuite Collaborator Domain (Unverified),50.116.40.144
50-116-40-144.ip.linodeusercontent.com,80,Possible BurpSuite Collaborator Domain (Unverified),50.116.40.144
52.128.241.51.sslip.io,8080,Possible CyberStrikeAI Domain (Unverified),52.128.241.51
535e6918-9da5-4a0a-ad3d-024f9437c76d.926.cam,3232,Possible Reverse_SSH Domain (Unverified),109.206.244.150
535e6918-9da5-4a0a-ad3d-024f9437c76d.926.cam,8888,Possible Supershell Domain (Unverified),109.206.244.150
567.cloudns.org,24443,Possible wstunnel Domain (Unverified),128.204.223.70
5rf.me,443,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
64.112.41.65.sslip.io,80,Possible BurpSuite Collaborator Domain (Unverified),64.112.41.65
692491.xyz,8080,Possible CyberStrikeAI Domain (Unverified),67.215.229.22
77.110.114.36.sslip.io,4096,Possible CyberStrike Domain (Unverified),77.110.114.36
77.111.101.103.sslip.io,8321,Possible Reverse_SSH Domain (Unverified),77.111.101.103
77.111.101.103.sslip.io,9090,Possible Reverse_SSH Domain (Unverified),77.111.101.103
7dlxkst7rjbzgj3l4l93lwwd147vvmjb.iad.176221588272.proxy.springtide.aws.dev,443,Possible BurpSuite Collaborator Domain (Unverified),44.254.210.57
84-247-183-230.sslip.io,8443,Possible PentAGI Domain (Unverified),84.247.183.230
85-137-53-26.cprapid.com,8168,Possible CyberStrikeAI Domain (Unverified),85.137.53.26
91.198.77.216.sslip.io,3790,Possible Metasploit Domain (Unverified),91.198.77.216
91web.de5.net,4321,Possible AdaptixC2 Domain (Unverified),43.143.57.45
96.si,443,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
96.si,80,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
9bn.in,80,Possible BurpSuite Collaborator Domain (Unverified),51.83.99.132
_dmarc.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mgmsp-lab.com,443,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
_dmarc.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mgmsp-lab.com,80,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
a.pentestdemo.com,443,Possible BurpSuite Collaborator Domain (Unverified),161.35.71.171
a.pentestdemo.com,80,Possible BurpSuite Collaborator Domain (Unverified),161.35.71.171
a3ym.top,56001,Possible PureRAT Domain (Unverified),118.107.16.32
aadcdn.147zip.ru,9091,Possible Evilginx/EvilGoPhish Domain (Unverified),138.124.14.35
aadcdnalt.shareeingtrils.online,5000,Possible Evilginx/EvilGoPhish Domain (Unverified),94.183.235.121
aaron2024.serv00.net,29889,Possible wstunnel Domain (Unverified),128.204.223.94
aaron2024.serv00.net,4697,Possible wstunnel Domain (Unverified),128.204.223.94
abc.offsec.ca,443,Possible BurpSuite Collaborator Domain (Unverified),3.96.96.201
abc.offsec.ca,80,Possible BurpSuite Collaborator Domain (Unverified),3.96.96.201
absoluteawesomestuff.com,443,Possible BurpSuite Collaborator Domain (Unverified),161.35.246.210
absoluteawesomestuff.com,80,Possible BurpSuite Collaborator Domain (Unverified),161.35.246.210
acadox.site,3232,Possible Reverse_SSH Domain (Unverified),207.246.108.64
ad.nbfsa.top,4321,Possible AdaptixC2 Domain (Unverified),121.127.253.146
adgov.online,443,Possible BurpSuite Collaborator Domain (Unverified),3.29.113.247
adit.foo.ng,18993,Possible wstunnel Domain (Unverified),128.204.223.98
adit.foo.ng,55678,Possible wstunnel Domain (Unverified),128.204.223.98
admin.jiagongchang.cc,7891,Possible DcRat Domain (Unverified),121.127.233.190
admin.jndxx.top,8443,Possible PentAGI Domain (Unverified),20.255.76.237
admin.ra1.cc.cd,9969,Possible CyberStrikeAI Domain (Unverified),38.55.199.236
ads.daluquan.top,8964,Possible CyberStrikeAI Domain (Unverified),23.94.44.214
aefkm.com,8080,Possible CyberStrikeAI Domain (Unverified),111.68.4.14
agent.oastfy.com,443,Possible BurpSuite Collaborator Domain (Unverified),52.188.71.220
ai.1024.surf,443,Possible CyberStrikeAI Domain (Unverified),38.76.201.121
ai.1024.surf,80,Possible CyberStrikeAI Domain (Unverified),38.76.201.121
ai.cloakify.dev,8080,Possible CyberStrikeAI Domain (Unverified),65.109.199.120
ai.lmysaberblog.cn,18080,Possible CyberStrikeAI Domain (Unverified),38.95.75.222
aib.prox-ima.it,443,Possible Brute Ratel C4 Domain (Unverified),213.199.35.149
aib.prox-ima.it,80,Possible Brute Ratel C4 Domain (Unverified),213.199.35.149
aidb.mspl.cloud,8443,Possible PentAGI Domain (Unverified),14.96.98.176
aikitchtech.com,80,Possible DinDoor Domain (Unverified),31.76.96.193
aisecid.raksmart.com,443,Possible CyberStrikeAI Domain (Unverified),192.74.251.211
aisecid.raksmart.com,80,Possible CyberStrikeAI Domain (Unverified),192.74.251.211
alice-dream.xyz,1145,Possible CyberStrikeAI Domain (Unverified),120.27.224.181
alpha.davincialgo.io,8443,Possible wstunnel Domain (Unverified),166.0.19.249
amillionebooks.com,56565,Possible AdaptixC2 Domain (Unverified),45.128.156.112
anand-alexa-poc.duckdns.org,9137,Possible Xalgorix Domain (Unverified),169.58.206.25
anatest5.xyz,8168,Possible CyberStrikeAI Domain (Unverified),138.226.246.157
aomeicloud.com,8000,Possible Cairn Domain (Unverified),35.225.35.45
ap-usportal.com,11604,Possible Ligolo-ng Domain (Unverified),209.151.154.91
api.baldduck.cn,8443,Possible PentAGI Domain (Unverified),154.12.51.133
api.hotspin88am.com,7897,Possible CyberStrikeAI Domain (Unverified),154.89.153.20
api.mntraje.pt,5641,Possible AdaptixC2 Domain (Unverified),130.185.82.117
api.netmaker.astrosys.com,38081,Possible Cairn Domain (Unverified),157.245.6.235
api.tk.qdbox.cn,8443,Possible CyberStrikeAI Domain (Unverified),121.40.122.186
api.vulnscanners.com,9090,Possible Hak5 Cloud C2 Domain (Unverified),178.104.172.54
apm.vpce.gdw55e.doc.df.iniprotection.business,9000,Possible DevilGinx Domain (Unverified),185.212.129.31
apm.vpce.gdw55e.doc.df.iniprotection.business,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.129.31
app-mailgun.top,56002,Possible PureRAT Domain (Unverified),217.60.195.197
app.collab.tr4t.io,80,Possible BurpSuite Collaborator Domain (Unverified),54.245.113.160
app.giaoluupickleball.com,8443,Possible PentAGI Domain (Unverified),146.190.108.112
appv2.meudorama.int.eu.org,8443,Possible PentAGI Domain (Unverified),157.173.113.230
apt.cab,8443,Possible PentAGI Domain (Unverified),208.87.243.221
apt.cab,8446,Possible PentAGI Domain (Unverified),208.87.243.221
arthurjung.nirokhub.fr,8443,Possible PentAGI Domain (Unverified),77.93.141.10
as-2026-719-ac-2.autonode.net,65000,Possible Mythic Domain (Unverified),167.99.174.8
att.com.im,80,Possible BurpSuite Collaborator Domain (Unverified),73.43.78.58
audit2.hisolutions.com,443,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
audit2.hisolutions.com,80,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
