dest_ip,dest_port
45.43.64.31,6289
91.203.242.66,222
178.250.88.50,8080
38.49.210.79,40000
80.51.61.1,8080
103.169.189.155,36473
45.166.144.2,999
62.171.168.211,3128
192.81.128.182,8089
103.37.82.134,39873
71.168.71.12,8889
45.74.31.30,6325
199.102.105.242,4145
197.155.73.82,8081
8.221.141.88,80
203.194.21.241,4153
212.34.116.58,4145
38.154.137.90,8800
45.74.31.30,6640
87.192.233.75,3128
203.210.235.91,5678
5.250.181.197,3128
178.218.119.29,10808
82.137.244.151,8080
131.153.163.84,27109
217.117.160.77,7219
107.150.41.226,18080
8.137.38.48,7890
45.74.31.25,6678
181.39.22.163,1994
208.163.39.218,53281
103.169.139.4,8081
103.216.50.210,1080
185.99.98.84,10808
103.227.187.3,6090
45.74.31.42,4191
114.5.97.150,8080
45.74.31.30,7650
184.178.172.23,4145
93.175.194.155,3629
45.70.236.194,999
180.148.25.42,8181
219.99.219.56,1080
122.246.4.30,17981
103.142.141.71,80
144.24.11.171,3128
93.118.109.220,8080
80.249.81.179,9050
2.26.117.22,1084
181.209.114.220,8080
170.244.64.198,31476
45.74.31.42,4392
62.193.108.138,1976
121.29.81.125,1080
103.197.241.209,1080
147.45.69.11,1080
31.59.20.198,6776
202.181.126.200,8118
184.182.240.211,4145
38.9.213.86,999
103.166.158.41,1080
104.200.21.190,8080
80.191.40.131,5678
151.237.84.9,8080
8.210.17.35,4321
171.25.158.95,1080
104.143.226.51,5654
45.74.31.30,9552
45.74.31.42,8805
45.74.31.47,9792
45.74.31.47,5565
158.160.8.144,3129
45.74.31.50,12453
45.74.31.47,5859
103.18.47.79,4145
45.74.31.25,6883
162.220.247.78,6673
188.242.163.28,21
131.153.1.46,32563
8.215.12.103,90
184.174.27.81,6304
177.184.67.41,4145
139.59.14.115,33292
45.74.31.30,7675
207.180.254.198,8080
143.0.203.173,8080
139.59.225.188,12827
13.143.128.118,3128
39.175.80.225,1080
1.179.172.45,31225
50.235.92.65,32100
103.122.0.162,8181
199.116.112.6,4145
45.74.31.47,4633
45.74.31.30,4061
45.43.64.120,6378
152.228.212.223,29272
45.74.31.30,5162
103.38.104.164,7777
47.89.159.212,6379
47.252.11.233,80
103.48.71.58,83
103.118.102.98,80
196.40.117.114,5678
109.224.242.151,8080
163.181.123.54,8080
142.54.231.38,4145
125.66.165.154,7302
185.6.9.176,8072
104.243.157.1,8080
178.18.245.90,29910
181.129.252.124,999
37.211.157.113,8080
119.237.43.106,80
45.74.31.25,7886
176.88.55.195,8080
89.151.134.157,3629
172.85.99.179,16062
8.213.222.157,51
119.148.47.233,1048
24.52.147.103,5999
45.74.31.50,4810
122.166.253.14,8888
45.74.31.42,7470
45.74.31.41,16029
69.27.14.138,43014
146.190.232.76,3128
34.140.137.151,80
45.74.31.22,10056
45.74.31.40,9905
193.200.151.69,32777
184.178.172.17,4145
123.200.28.149,1080
43.132.184.228,8181
103.170.46.245,8080
45.74.31.42,24544
45.74.31.50,16734
78.47.244.211,8080
219.65.73.80,80
137.59.195.198,1080
101.255.32.41,8080
179.49.117.20,999
172.104.107.194,8080
8.211.49.86,50070
104.143.226.36,5639
186.226.167.191,3128
103.135.189.146,83
51.195.139.95,44648
118.99.98.125,8080
137.184.228.194,40886
176.74.192.44,24822
113.160.188.21,1080
45.74.31.30,8258
190.13.147.93,5678
174.138.165.211,35717
45.74.31.47,21874
210.87.74.71,8080
45.74.31.42,11063
0.0.0.0,80
220.128.223.136,8085
45.74.31.42,9909
205.172.58.121,3128
45.74.31.42,13408
8.211.200.183,6969
47.74.46.81,102
37.128.107.102,4145
155.50.249.247,3128
174.138.161.186,55443
144.24.171.189,555
45.74.31.22,11530
18.144.77.146,80
179.255.188.139,1080
45.74.31.30,4401
184.105.133.1,48324
65.108.203.36,28080
193.227.129.196,8001
45.74.31.41,10393
31.220.163.133,1080
45.74.31.30,7120
45.74.31.42,6357
176.88.166.190,5678
47.80.78.73,6666
45.74.31.50,11756
88.218.206.170,22
45.74.31.30,15095
145.220.227.5,1080
45.74.31.22,17102
80.248.53.90,1080
144.76.42.215,8118
107.181.148.111,5971
79.106.44.66,2095
190.210.62.131,8080
176.74.193.6,36918
103.143.214.81,5678
131.153.1.46,36265
191.7.208.101,31576
166.62.53.45,45842
103.139.232.73,83
103.152.9.150,80
94.198.40.18,80
182.184.30.96,8080
178.214.201.74,7080
38.19.36.86,999
103.155.196.166,3125
93.175.204.173,8080
208.96.138.86,29183
47.250.11.111,11
8.211.194.78,8008
103.170.185.226,80
122.175.58.131,80
47.90.149.238,41
190.89.104.76,5432
193.233.233.62,21840
185.32.4.126,4153
181.129.183.19,53281
212.34.230.102,4153
45.74.31.23,7829
91.213.119.246,46024
45.74.31.42,4835
