dest_ip,dest_port,metadata_comment
5.129.254.70,8888,http
46.39.251.233,1080,socks5
5.129.254.51,8888,http
213.248.39.166,4153,socks4
85.8.47.198,7080,http
85.8.47.207,7080,http
85.8.47.209,7080,http
85.8.47.208,7080,http
185.179.188.54,1080,socks5
85.8.47.210,7080,http
85.8.47.212,7080,http
85.8.47.211,7080,http
5.129.254.60,8888,http
5.129.254.5,8888,http
5.23.104.251,1080,socks4
185.195.71.218,18080,http
193.233.233.62,21840,http
5.129.254.154,8888,http
193.233.233.62,56736,http
62.60.250.171,40001,socks4
93.90.212.2,4153,socks4
91.150.80.161,1080,socks4
85.235.150.219,3128,http
83.221.222.194,1080,socks5
92.42.8.20,4145,socks4
88.87.79.18,3629,socks4
89.22.226.183,1080,socks5
185.195.71.218,18080,socks5
88.213.214.254,4145,socks4
78.29.56.178,1080,socks5
85.142.124.27,1080,socks5
94.156.250.185,1080,socks5
45.151.69.56,3128,http
185.87.255.54,1080,socks5
46.151.113.10,5678,socks4
45.74.31.42,25576,socks5
109.195.215.208,1080,socks5
45.74.31.42,25418,socks5
95.111.246.72,1080,socks5
195.144.24.57,3128,http
83.56.15.57,5678,socks4
185.87.255.47,1080,socks5
85.172.81.216,1080,socks5
82.132.19.108,4153,socks4
79.134.4.192,1080,socks5
109.191.10.98,1080,socks5
86.127.187.149,1080,socks4
80.78.74.8,65530,socks4
45.147.179.118,3129,http
90.178.216.215,4153,socks4
37.9.4.101,1088,socks5
102.23.220.66,8520,http
193.233.233.62,56736,socks5
45.74.31.23,7313,socks5
212.220.13.98,4153,socks4
201.4.69.164,8080,http
35.175.204.137,3128,http
78.109.137.53,1080,socks5
201.4.71.23,8080,http
45.74.31.40,9476,socks5
34.235.136.74,1001,http
201.4.65.103,8080,http
88.220.133.87,4153,socks4
45.81.154.75,1080,socks4
94.230.127.180,1080,socks5
85.117.32.166,4153,socks4
89.105.153.140,3128,http
94.156.180.204,1081,socks5
188.132.150.49,8080,http
24.52.147.103,5999,http
88.147.197.60,1080,socks5
45.74.31.40,14881,socks5
196.75.167.165,1161,http
201.4.69.44,8080,http
196.75.153.182,1088,http
67.207.92.87,1088,socks5
195.19.49.21,1080,socks5
83.147.217.103,1080,socks5
45.139.77.195,1080,socks5
194.67.207.95,19080,socks5
45.74.31.42,9653,socks5
174.138.189.26,2001,socks5
89.251.21.158,8080,http
45.74.31.23,4387,socks5
178.92.72.73,8080,http
45.81.154.75,1080,socks5
103.25.167.177,4153,socks4
92.39.129.50,1256,http
202.57.46.138,4145,socks4
178.92.72.54,8080,http
150.241.245.249,8080,http
31.207.4.14,3128,http
49.13.22.249,10812,socks5
81.0.49.104,18500,socks5
45.74.31.42,8072,socks5
196.75.166.252,1082,http
58.136.234.169,4145,socks4
201.4.68.113,8080,http
178.92.72.149,8080,http
202.73.27.154,8080,http
172.236.242.244,3128,http
113.53.60.239,8080,http
182.52.149.68,8080,http
209.50.255.91,1080,socks5
66.23.230.119,3128,http
203.190.53.210,8080,http
49.13.22.249,10805,socks5
178.236.16.4,1080,socks5
178.92.72.94,8080,http
196.75.166.252,1061,http
223.204.55.166,8080,http
45.74.31.22,15488,socks5
196.75.165.159,1081,http
45.74.31.42,6996,socks5
202.181.24.102,10810,socks5
196.75.207.212,1088,http
66.23.230.118,3128,http
196.75.165.159,1012,http
101.96.105.87,1080,socks4
45.74.31.42,9043,socks5
118.172.228.211,8080,http
203.175.102.169,3125,http
159.194.228.40,8888,http
85.105.194.113,4153,socks4
50.192.195.69,39792,socks4
45.74.31.40,41032,socks5
154.201.126.44,8080,http
212.154.169.90,3128,http
105.214.104.26,5678,socks4
45.74.31.42,10043,socks5
116.204.166.204,8080,http
43.99.60.244,8089,http
43.251.225.109,1080,socks5
154.201.127.46,8080,http
181.119.224.25,8080,http
161.22.39.58,999,http
45.74.31.42,4623,socks5
174.138.162.37,56046,http
45.74.31.23,11090,socks5
154.201.127.198,8080,http
154.201.71.12,2080,socks5
131.153.163.86,30664,socks5
85.117.56.66,8080,http
14.251.13.17,8080,http
174.138.162.38,56046,http
103.23.100.9,1080,socks4
109.232.106.150,52435,socks4
85.237.62.189,3629,socks4
196.75.153.200,1088,http
45.74.31.23,42350,socks5
45.194.3.119,8080,http
147.93.172.241,5555,socks5
210.79.140.156,8181,http
91.202.5.45,1080,socks5
188.113.182.218,1080,socks5
141.11.132.201,3128,http
95.31.48.4,1080,socks5
89.151.134.157,3629,socks4
193.227.129.195,36051,http
45.74.31.42,4368,socks5
190.43.92.201,999,http
45.74.31.42,9677,socks5
62.60.250.171,40001,http
160.187.0.89,1080,socks5
131.153.163.84,35810,http
103.80.214.170,8082,http
94.198.211.217,5678,socks4
5.75.133.113,10812,socks5
180.194.83.62,8082,http
172.237.102.212,3128,http
103.112.139.162,8080,http
113.45.195.147,3128,http
153.51.201.35,999,http
188.132.150.149,8080,http
