metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1790479039.2076,elite,1921.3528856751,1789666784.5419,AS198154 Pars Abr Toseeh Ertebatat LTD,parsabr,Tehran,Asia,AS,Iran,IR,,False,Pars Abr Toseeh Ertebatat LTD,35.7219,51.3347,False,ParsAbr,False,Tehran,success,Asia/Tehran,,1790271874,1790483185.0513,80,socks4,85.133.250.27:80,True,335.89649200439,71361,4673,93.854065286582,85.133.250.27
True,1790469187.3412,elite,1651.4346413115,1789930746.0662,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,Hetzner,True,Bavaria,success,Europe/Berlin,90403,1789927839,1790483184.8145,10805,socks5,5.75.133.113:10805,True,137.1066570282,4309,1150,78.933870672284,5.75.133.113
True,1790482985.2923,elite,2667.5295571641,1785601346.3671,AS39608 Lanet Network Ltd,LANETUA-AS,Kyiv,Europe,EU,Ukraine,UA,,False,Lanet Network,50.458,30.5303,False,Lanet Network Ltd,True,Kyiv City,success,Europe/Kyiv,01054,1790439397,1790483184.7481,11111,socks5,176.37.107.86:11111,True,290.12513160706,52243,63245,45.236734552508,176.37.107.86
True,1790458047.4506,elite,30.724691983277,1790458047.4506,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Frankfurt am Main,Europe,EU,Germany,DE,,False,Global Connectivity Solutions LLP,50.1109,8.68213,False,Global Connectivity Solutions LLP,False,Hesse,success,Europe/Berlin,60313,1790455506,1790483184.6065,1080,socks4,138.124.66.226:1080,True,16.231060028076,2441,0,100.0,138.124.66.226
True,1790483033.1102,elite,2406.4287101557,1784123507.1488,AS48971 DATAWIRE AG,DATAWIRE-AS,Wädenswil,Europe,EU,Switzerland,CH,,False,netz116,47.2258,8.66224,False,Rolf Tschumi (MGW Online),True,Zurich,success,Europe/Zurich,8820,1790171382,1790483184.5988,4145,socks4,195.225.116.15:4145,True,50.97508430481,72710,186488,28.051913980818,195.225.116.15
True,1790482774.3524,elite,1218.0002626967,1776087457.3094,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,,False,Performive LLC,34.0549,-118.243,False,Family Guy Online,True,California,success,America/Los_Angeles,90035,1789925050,1790483184.4488,4145,socks5,68.71.249.158:4145,True,975.30102729797,83336,78290,51.561011223442,68.71.249.158
True,1790483101.5775,elite,8909.8735058584,1786998833.8265,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1790022261,1790483184.3286,10912,socks4,111.119.162.248:10912,True,1099.339723587,72168,86979,45.346754886991,111.119.162.248
True,1790483170.5032,elite,2297.0844072413,1696967976.5972,AS1820 WNET TELECOM USA Corp.,WNET,Kyiv,Europe,EU,Ukraine,UA,,False,WNET TELECOM USA Corp.,50.458,30.5303,False,LoadMe,True,Kyiv City,success,Europe/Kyiv,01001,1790382325,1790483184.285,5678,socks4,80.92.227.185:5678,True,281.93712234497,293614,1055996,21.755470098769,80.92.227.185
True,1790483184.2009,elite,717.79817342758,1790442157.8271,"AS56309 Siamdata Communication Co.,Ltd.",SIAMDATA-TH,Pattaya,Asia,AS,Thailand,TH,,False,READYIDC CO,12.9333,100.883,False,"ReadyIDC CO., LTD.",False,Chon Buri,success,Asia/Bangkok,76130,1790438425,1790483184.2009,1001,http,117.18.127.238:1001,False,565.993309021,20,127,13.605442176871,117.18.127.238
True,1790483184.1434,elite,1299.7886353813,1787626936.0099,AS7303 Telecom Argentina S.A.,Telecom Argentina S.A.,Obera,South America,SA,Argentina,AR,,False,Telecom Argentina S.A.,-27.4868,-55.1199,False,Telecom Argentina S.A,True,Misiones,success,America/Argentina/Cordoba,3360,1790042814,1790483184.1434,4145,socks4,200.43.43.119:4145,True,1254.6970844269,8581,87636,8.9183824064355,200.43.43.119
True,1790483184.1328,elite,2138.7052639324,1710573367.1681,AS8717 A1 Bulgaria EAD,A1BG,Sofia,Europe,EU,Bulgaria,BG,,False,Spectrum NET,42.6951,23.325,False,,True,Sofia-Capital,success,Europe/Sofia,1000,1789925794,1790483184.1328,4153,socks4,212.50.19.150:4153,True,1136.9354724884,310909,1046437,22.905655595552,212.50.19.150
True,1790480653.5858,elite,4869.4555635251,1788115149.613,AS209783 Avaye Segal Net Co. PJS,segalnet,Tehran,Asia,AS,Iran,IR,,False,Avaye Segal Net Co. PJS,35.7219,51.3347,False,Pardazesh Argham Yasna Co,True,Tehran,success,Asia/Tehran,,1789928284,1790483184.0952,2080,socks4,194.31.108.109:2080,True,748.41356277466,191836,15519,92.51573388633,194.31.108.109
True,1790483083.041,elite,3519.9963100086,1783339330.7141,AS45899 VNPT Corp,VNPT-AS-VN,Bien Hoa,Asia,AS,Vietnam,VN,,False,VietNam Post and Telecom Corporation,10.9413,106.8221,False,Vietnam Posts and Telecommunications Group,True,Đồng Nai Province,success,Asia/Ho_Chi_Minh,810000,1789988784,1790483184.0745,1080,socks4,113.161.134.128:1080,True,1183.643579483,240609,166155,59.151989851609,113.161.134.128
True,1790481765.4129,elite,6737.3145211613,1786782853.3218,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1790410042,1790483184.045,10932,socks4,111.119.162.248:10932,True,618.12114715576,76912,84289,47.711862829635,111.119.162.248
True,1790481877.8464,elite,737.09378957728,1790366436.6477,AS42673 Skyware Sp. z o.o.,SKYWARE-AS,Rzeszów,Europe,EU,Poland,PL,,False,Skyware Sp. z o.o.,50.0439,21.9587,False,Skyware Sp. z o.o,True,Subcarpathia,success,Europe/Warsaw,35-505,1790363320,1790483184.0082,1080,socks4,91.150.189.122:1080,True,181.68544769287,11709,74,99.371976576424,91.150.189.122
True,1790482967.6769,elite,2972.4699200076,1783547800.5684,AS23969 TOT Public Company Limited,TOT-NET,Bangkok,Asia,AS,Thailand,TH,,False,TOT Public Company Limited,13.7663,100.6503,False,TOT Mobile Co LTD,True,Bangkok,success,Asia/Bangkok,10240,1790200615,1790483183.9122,4153,socks4,1.20.254.32:4153,True,854.27832603455,182150,175905,50.872072726257,1.20.254.32
True,1790441382.8086,elite,747.18196218056,1789988019.5822,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,False,Grand Est,success,Europe/Paris,67630,1789986408,1790483183.7847,1081,socks4,95.111.228.190:1081,True,20.061492919922,44054,3656,92.337036260742,95.111.228.190
