dest_nt_domain,dest_port,dest_ip
fi-hel.prod.surfshark.com,1194,193.56.113.51
rs-beg.prod.surfshark.com,1194,37.120.193.229
dz-alg.prod.surfshark.com,1194,62.197.144.131
at-vie.prod.surfshark.com,1194,89.187.168.46
uy-mvd.prod.surfshark.com,1443,212.119.32.20
kh-pnh.prod.surfshark.com,1443,62.197.146.19
cr-sjn.prod.surfshark.com,1194,176.227.241.52
si-lju.prod.surfshark.com,1194,195.158.249.29
ph-mnl.prod.surfshark.com,1443,151.240.11.5
al-tia.prod.surfshark.com,1443,172.216.15.59
mn-uln.prod.surfshark.com,1194,62.197.155.53
fr-par.prod.surfshark.com,1443,146.70.194.243
us-bna.prod.surfshark.com,1443,82.26.162.51
uk-man.prod.surfshark.com,1443,193.148.17.149
us-nyc.prod.surfshark.com,1194,146.70.186.133
bg-sof.prod.surfshark.com,1194,185.9.16.213
us-ash.prod.surfshark.com,1194,149.102.227.110
ca-tor.prod.surfshark.com,1194,149.88.16.180
kr-seo.prod.surfshark.com,1194,61.97.244.82
cy-nic.prod.surfshark.com,1194,193.19.204.86
kz-ura.prod.surfshark.com,1443,217.9.250.99
us-dtw.prod.surfshark.com,1194,206.212.255.75
lv-rig.prod.surfshark.com,1443,80.246.31.76
hr-zag.prod.surfshark.com,1443,149.102.247.137
am-evn.prod.surfshark.com,1194,92.62.120.117
mm-nyt.prod.surfshark.com,1194,45.95.242.46
be-bru.prod.surfshark.com,1194,79.127.164.9
gl-goh.prod.surfshark.com,1443,92.62.123.83
cz-prg.prod.surfshark.com,1194,185.180.14.151
us-clt.prod.surfshark.com,1443,165.140.84.35
au-syd.prod.surfshark.com,1194,45.248.76.229
us-hou.prod.surfshark.com,1443,149.40.58.22
lk-cmb.prod.surfshark.com,1194,62.197.156.36
mm-nyt.prod.surfshark.com,1443,45.95.242.44
nl-ams.prod.surfshark.com,1194,143.244.42.86
us-sjc.prod.surfshark.com,1194,149.36.48.80
sk-bts.prod.surfshark.com,1443,185.76.8.210
mx-qro.prod.surfshark.com,1194,79.127.229.162
ph-mnl.prod.surfshark.com,1194,151.240.11.10
uk-edi.prod.surfshark.com,1194,188.240.57.109
cl-san.prod.surfshark.com,1194,149.88.104.34
za-jnb.prod.surfshark.com,1443,154.47.30.110
us-chi.prod.surfshark.com,1194,195.242.212.155
id-jak.prod.surfshark.com,1443,93.185.162.25
jp-tok.prod.surfshark.com,1443,93.118.41.112
ad-leu.prod.surfshark.com,1194,62.197.152.181
gh-acc.prod.surfshark.com,1443,172.216.244.36
ie-dub.prod.surfshark.com,1194,146.70.130.83
gh-acc.prod.surfshark.com,1194,172.216.244.20
mk-skp.prod.surfshark.com,1194,217.9.244.83
uk-gla.prod.surfshark.com,1443,89.37.66.97
si-lju.prod.surfshark.com,1443,195.158.249.23
ba-sjj.prod.surfshark.com,1443,89.117.46.37
us-ash.prod.surfshark.com,1443,149.102.227.110
br-sao.prod.surfshark.com,1194,146.70.163.195
us-lax.prod.surfshark.com,1443,154.47.31.2
us-chi.prod.surfshark.com,1443,103.103.98.18
in-del.prod.surfshark.com,1194,92.62.121.229
us-nyc.prod.surfshark.com,1443,146.70.186.133
pk-khi.prod.surfshark.com,1443,151.244.60.27
at-vie.prod.surfshark.com,1443,89.187.168.46
al-tia.prod.surfshark.com,1194,172.216.15.59
uk-lon.prod.surfshark.com,1194,154.47.24.83
vn-hcm.prod.surfshark.com,1194,83.97.112.24
pk-khi.prod.surfshark.com,1194,151.244.60.29
uy-mvd.prod.surfshark.com,1194,212.119.32.20
dk-cph.prod.surfshark.com,1194,146.70.92.59
us-hou.prod.surfshark.com,1194,149.40.58.22
us-ltm.prod.surfshark.com,1194,154.16.169.91
in-mum.prod.surfshark.com,1443,176.227.240.36
se-sto.prod.surfshark.com,1443,185.76.9.49
bt-pbh.prod.surfshark.com,1443,62.197.157.39
cy-nic.prod.surfshark.com,1443,193.19.204.70
us-den.prod.surfshark.com,1443,212.102.44.115
br-sao.prod.surfshark.com,1443,146.70.163.195
ad-leu.prod.surfshark.com,1443,62.197.152.181
mo-mfm.prod.surfshark.com,1194,62.197.154.52
bd-dac.prod.surfshark.com,1443,62.197.153.56
bs-nas.prod.surfshark.com,1194,62.197.145.50
ge-tbs.prod.surfshark.com,1194,83.97.115.36
im-iom.prod.surfshark.com,1194,62.197.148.69
pt-lis.prod.surfshark.com,1194,185.92.210.137
ro-buc.prod.surfshark.com,1443,217.148.143.195
np-ktm.prod.surfshark.com,1194,194.169.170.54
ua-iev.prod.surfshark.com,1194,143.244.46.233
us-kan.prod.surfshark.com,1443,74.80.182.77
ge-tbs.prod.surfshark.com,1443,83.97.115.36
us-mia.prod.surfshark.com,1194,146.70.45.195
la-vte.prod.surfshark.com,1194,194.169.168.24
uz-tas.prod.surfshark.com,1443,94.154.124.101
hu-bud.prod.surfshark.com,1194,79.127.182.4
ca-van.prod.surfshark.com,1443,216.246.31.57
me-tgd.prod.surfshark.com,1443,62.197.159.20
us-sjc.prod.surfshark.com,1443,156.146.54.201
pa-pac.prod.surfshark.com,1194,185.244.139.85
us-bos.prod.surfshark.com,1443,149.40.50.214
us-slc.prod.surfshark.com,1443,172.216.252.10
pl-gdn.prod.surfshark.com,1443,37.28.159.237
pr-sju.prod.surfshark.com,1194,45.139.253.20
de-ber.prod.surfshark.com,1194,86.38.98.26
us-las.prod.surfshark.com,1194,79.110.54.107
ee-tll.prod.surfshark.com,1443,185.174.159.123
th-bkk.prod.surfshark.com,1194,151.240.88.101
pe-lim.prod.surfshark.com,1194,95.173.223.113
bz-blp.prod.surfshark.com,1443,212.119.33.18
us-den.prod.surfshark.com,1194,212.102.44.115
li-qvu.prod.surfshark.com,1443,62.197.150.69
us-slc.prod.surfshark.com,1194,172.216.252.22
gr-ath.prod.surfshark.com,1443,79.127.181.182
us-atl.prod.surfshark.com,1443,92.119.16.34
sg-sng.prod.surfshark.com,1194,149.88.23.81
us-dal.prod.surfshark.com,1443,2.56.189.112
mc-mcm.prod.surfshark.com,1194,62.197.151.20
eg-cai.prod.surfshark.com,1443,62.197.147.67
pl-waw.prod.surfshark.com,1443,45.128.38.141
ae-dub.prod.surfshark.com,1443,146.70.102.203
ca-mon.prod.surfshark.com,1443,109.204.65.4
us-buf.prod.surfshark.com,1443,192.227.215.34
li-qvu.prod.surfshark.com,1194,62.197.150.69
uk-lon.prod.surfshark.com,1443,154.47.24.83
in-mum.prod.surfshark.com,1194,176.227.240.74
uk-gla.prod.surfshark.com,1194,188.240.58.38
is-rkv.prod.surfshark.com,1194,45.139.252.107
au-per.prod.surfshark.com,1443,82.23.0.10
hu-bud.prod.surfshark.com,1443,79.127.182.4
in-del.prod.surfshark.com,1443,92.62.121.165
sg-sng.prod.surfshark.com,1443,149.88.23.81
pe-lim.prod.surfshark.com,1443,95.173.223.108
ie-dub.prod.surfshark.com,1443,146.70.130.83
us-lax.prod.surfshark.com,1194,89.187.187.78
pr-sju.prod.surfshark.com,1443,45.139.253.20
us-sea.prod.surfshark.com,1194,149.102.254.29
py-asu.prod.surfshark.com,1443,194.26.131.34
mx-qro.prod.surfshark.com,1443,79.127.229.164
np-ktm.prod.surfshark.com,1443,194.169.170.56
bn-bwn.prod.surfshark.com,1194,62.197.158.46
it-mil.prod.surfshark.com,1194,212.102.54.135
es-vlc.prod.surfshark.com,1194,193.19.207.96
ar-bua.prod.surfshark.com,1443,89.117.41.131
ua-iev.prod.surfshark.com,1443,143.244.46.103
cr-sjn.prod.surfshark.com,1443,176.227.241.52
kz-ura.prod.surfshark.com,1194,217.9.250.101
la-vte.prod.surfshark.com,1443,194.169.168.24
fr-par.prod.surfshark.com,1194,146.70.194.243
us-kan.prod.surfshark.com,1194,74.80.182.79
cl-san.prod.surfshark.com,1443,149.88.104.34
tr-ist.prod.surfshark.com,1194,87.249.139.183
es-vlc.prod.surfshark.com,1443,193.19.207.98
pl-waw.prod.surfshark.com,1194,45.134.212.226
nz-akl.prod.surfshark.com,1194,62.93.164.241
fr-mrs.prod.surfshark.com,1443,138.199.16.152
lk-cmb.prod.surfshark.com,1443,62.197.156.36
au-syd.prod.surfshark.com,1443,149.88.101.2
dz-alg.prod.surfshark.com,1443,62.197.144.84
de-ber.prod.surfshark.com,1443,86.38.98.26
uk-man.prod.surfshark.com,1194,217.138.196.197
bs-nas.prod.surfshark.com,1443,62.197.145.52
us-sfo.prod.surfshark.com,1443,89.117.45.35
au-bne.prod.surfshark.com,1194,144.48.39.11
tw-tai.prod.surfshark.com,1194,89.117.42.53
pa-pac.prod.surfshark.com,1443,185.244.139.85
ro-buc.prod.surfshark.com,1194,89.33.8.197
lv-rig.prod.surfshark.com,1194,80.246.31.71
it-mil.prod.surfshark.com,1443,212.102.54.132
uk-edi.prod.surfshark.com,1443,188.240.57.109
be-bru.prod.surfshark.com,1443,79.127.164.9
eg-cai.prod.surfshark.com,1194,62.197.147.51
us-bdn.prod.surfshark.com,1194,66.235.168.221
hr-zag.prod.surfshark.com,1194,149.102.247.137
us-bos.prod.surfshark.com,1194,149.40.50.214
ec-uio.prod.surfshark.com,1443,92.62.122.34
ca-van.prod.surfshark.com,1194,216.246.31.92
it-rom.prod.surfshark.com,1443,37.120.207.237
ma-rab.prod.surfshark.com,1194,89.117.44.18
bd-dac.prod.surfshark.com,1194,62.197.153.41
vn-hcm.prod.surfshark.com,1443,83.97.112.29
az-bak.prod.surfshark.com,1194,89.117.47.67
nl-ams.prod.surfshark.com,1443,143.244.42.86
us-phx.prod.surfshark.com,1443,45.86.208.112
us-oma.prod.surfshark.com,1194,145.223.7.53
lt-vno.prod.surfshark.com,1194,62.197.149.109
md-chi.prod.surfshark.com,1443,217.9.245.101
bt-pbh.prod.surfshark.com,1194,62.197.157.41
bz-blp.prod.surfshark.com,1194,212.119.33.36
au-mel.prod.surfshark.com,1194,195.86.27.12
bo-sre.prod.surfshark.com,1443,194.169.171.36
fr-bod.prod.surfshark.com,1443,195.86.24.103
fi-hel.prod.surfshark.com,1443,193.56.113.51
hk-hkg.prod.surfshark.com,1194,149.40.54.76
lu-ste.prod.surfshark.com,1443,185.153.151.146
au-per.prod.surfshark.com,1194,45.248.78.43
au-bne.prod.surfshark.com,1443,144.48.39.11
ca-mon.prod.surfshark.com,1194,109.204.65.4
us-ltm.prod.surfshark.com,1443,154.16.169.77
fr-bod.prod.surfshark.com,1194,195.86.24.103
us-dtw.prod.surfshark.com,1443,206.212.255.75
us-oma.prod.surfshark.com,1443,145.223.7.53
tr-ist.prod.surfshark.com,1443,87.249.139.183
ch-zur.prod.surfshark.com,1443,84.17.53.208
md-chi.prod.surfshark.com,1194,217.9.245.85
gl-goh.prod.surfshark.com,1194,92.62.123.83
es-mad.prod.surfshark.com,1194,212.102.48.18
ng-lag.prod.surfshark.com,1194,79.127.149.41
th-bkk.prod.surfshark.com,1443,151.240.88.101
tw-tai.prod.surfshark.com,1443,45.144.227.28
fr-mrs.prod.surfshark.com,1194,138.199.16.132
py-asu.prod.surfshark.com,1194,194.26.131.36
es-mad.prod.surfshark.com,1443,212.102.48.18
id-jak.prod.surfshark.com,1194,93.185.162.25
mo-mfm.prod.surfshark.com,1443,62.197.154.54
pt-opo.prod.surfshark.com,1194,103.192.205.60
mt-mla.prod.surfshark.com,1443,193.228.56.132
us-sfo.prod.surfshark.com,1194,89.117.45.35
us-atl.prod.surfshark.com,1194,89.222.103.178
bg-sof.prod.surfshark.com,1443,185.9.16.213
se-sto.prod.surfshark.com,1194,185.76.9.49
ca-tor.prod.surfshark.com,1443,149.88.16.178
pt-lis.prod.surfshark.com,1443,185.92.210.137
gr-ath.prod.surfshark.com,1194,149.102.246.103
nz-akl.prod.surfshark.com,1443,180.149.231.13
us-buf.prod.surfshark.com,1194,82.23.1.25
za-jnb.prod.surfshark.com,1194,154.47.30.108
be-anr.prod.surfshark.com,1443,188.95.55.13
jp-tok.prod.surfshark.com,1194,82.26.195.18
pl-gdn.prod.surfshark.com,1194,178.255.41.197
au-mel.prod.surfshark.com,1443,195.86.27.24
ch-zur.prod.surfshark.com,1194,84.17.53.208
ee-tll.prod.surfshark.com,1194,185.174.159.121
me-tgd.prod.surfshark.com,1194,62.197.159.20
mc-mcm.prod.surfshark.com,1443,62.197.151.20
kh-pnh.prod.surfshark.com,1194,62.197.146.19
lt-vno.prod.surfshark.com,1443,62.197.149.128
ve-car.prod.surfshark.com,1443,45.149.3.18
my-kul.prod.surfshark.com,1443,202.176.4.52
us-las.prod.surfshark.com,1443,82.102.31.3
ba-sjj.prod.surfshark.com,1194,89.117.46.35
im-iom.prod.surfshark.com,1443,62.197.148.67
us-sea.prod.surfshark.com,1443,84.17.41.85
it-rom.prod.surfshark.com,1194,37.120.207.237
us-mia.prod.surfshark.com,1443,146.70.45.195
kr-seo.prod.surfshark.com,1443,82.26.199.17
co-bog.prod.surfshark.com,1443,149.88.111.78
ec-uio.prod.surfshark.com,1194,92.62.122.34
ng-lag.prod.surfshark.com,1443,195.86.48.164
au-adl.prod.surfshark.com,1194,103.214.20.205
mt-mla.prod.surfshark.com,1194,193.228.56.132
us-clt.prod.surfshark.com,1194,165.140.84.35
il-tlv.prod.surfshark.com,1443,169.150.227.140
ve-car.prod.surfshark.com,1194,45.149.3.34
bo-sre.prod.surfshark.com,1194,194.169.171.36
de-fra.prod.surfshark.com,1194,169.150.201.131
no-osl.prod.surfshark.com,1194,79.127.150.140
es-bcn.prod.surfshark.com,1443,82.26.159.28
